,0
0,361113.1296971
1,361113.1346825
2,361113.1347102
3,361113.1356681
4,361113.1356935
5,361113.1507733
6,361113.1544204
7,361113.1544505
8,361113.1608741
9,361113.1610125
10,361113.1869219
11,361113.1869867
12,361113.1888233
13,361113.1888837
14,361113.1913664
15,361113.1914364
16,361113.2157342
17,361113.2158633
18,361113.2424986
19,361113.2425364
20,361113.2676634
21,361113.2677272
22,361113.2725586
23,361113.2750519
24,361113.277545
25,361113.2805364
26,361113.2852153
27,361113.2882985
28,361113.2918653
29,361113.2928773
30,361113.2953393
31,361113.2979585
32,361113.3019201
33,361113.3029274
34,361113.3054492
35,361113.3079578
36,361113.3135123
37,361113.3159383
38,361113.3183615
39,361113.3214629
40,361113.3274271
41,361113.3275162
42,361113.331347
43,361113.3313715
44,361113.3335044
45,361113.3335189
46,361113.3350067
47,361113.3351377
48,361113.3374733
49,361113.3374904
50,361113.3394836
51,361113.3420751
52,361113.3420948
53,361113.3444955
54,361113.3470044
55,361113.350015
56,361113.3500411
57,361113.3519987
58,361113.3611617
59,361113.3612122
60,361113.3696901
61,361113.3723761
62,361113.3724106
63,361113.3748427
64,361113.3859262
65,361113.3904328
66,361113.390514
67,361113.3906604
68,361113.3928839
69,361113.3969176
70,361113.4064908
71,361113.4116549
72,361113.4116986
73,361113.4139923
74,361113.4207786
75,361113.4285855
76,361113.4286142
77,361113.4355005
78,361113.4355314
79,361113.4368052
80,361113.4495241
81,361113.4542584
82,361113.4542926
83,361113.4543044
84,361113.4645148
85,361113.4699603
86,361113.4699873
87,361113.4789978
88,361113.4790207
89,361113.4814401
90,361113.4814654
91,361113.4909525
92,361113.4954414
93,361113.495497
94,361113.5030478
95,361113.5094894
96,361113.509527
97,361113.5131802
98,361113.5132623
99,361113.5184946
100,361113.5341707
101,361113.5342244
102,361113.5360846
103,361113.5361857
104,361113.5441993
105,361113.5451502
106,361113.5541764
107,361113.554221
108,361113.5603674
109,361113.5604084
110,361113.5849785
111,361113.5850334
112,361113.610186
113,361113.6232056
114,361113.6256441
115,361113.625667
116,361113.628106
117,361113.6281317
118,361113.6321257
119,361113.6322084
120,361113.6322431
121,361113.6322578
122,361113.6352795
123,361113.6353043
124,361113.6378825
125,361113.6406933
126,361113.6417087
127,361113.6451978
128,361113.6452336
129,361113.6477012
130,361113.6487455
131,361113.6517296
132,361113.6552107
133,361113.6552474
134,361113.6652765
135,361113.6708017
136,361113.6708447
137,361113.670883
138,361113.6728254
139,361113.6762691
140,361113.6928604
141,361113.6929053
142,361113.6943797
143,361113.6988244
144,361113.704351
145,361113.7063788
146,361113.7105465
147,361113.7105765
148,361113.7156096
149,361113.7219716
150,361113.7220014
151,361113.7277599
152,361113.7317225
153,361113.7367886
154,361113.7412909
155,361113.7413256
156,361113.7501665
157,361113.7541253
158,361113.7541544
159,361113.7617969
160,361113.7652935
161,361113.7653226
162,361113.7720475
163,361113.7757299
164,361113.7852318
165,361113.785293
166,361113.7916158
167,361113.7916593
168,361113.8001608
169,361113.8057971
170,361113.8058252
171,361113.8076597
172,361113.8197337
173,361113.8197705
174,361113.8207518
175,361113.820788
176,361113.8278275
177,361113.8383072
178,361113.8383384
179,361113.8393143
180,361113.8418325
181,361113.851346
182,361113.8558413
183,361113.8558663
184,361113.8623475
185,361113.9012758
186,361113.9013648
187,361113.9013777
188,361113.9013891
189,361113.9013984
190,361113.9014882
191,361113.9014994
192,361113.9015079
193,361113.9166472
194,361113.9168186
195,361113.9168587
196,361113.9168909
197,361113.9170124
198,361113.9324979
199,361113.9325697
200,361113.9325901
201,361113.9798089
202,361113.9798883
203,361113.9799178
204,361113.9801539
205,361113.9803396
206,361113.9958298
207,361113.9960234
208,361113.9961874
209,361113.9963193
210,361113.9964385
211,361113.9965583
212,361113.9966779
213,361114.0108839
214,361114.0111254
215,361114.0115589
216,361114.0117707
217,361114.0119151
218,361114.0119957
219,361114.0120252
220,361114.0266155
